id,sequenceNumber,text,awayScore,homeScore,scoringPlay,scoreValue,wallclock,atBatId,summaryType,outs,type.id,type.text,type.type,period.type,period.number,period.displayValue,team.id,pitchCount.balls,pitchCount.strikes,resultCount.balls,resultCount.strikes,participants,batOrder,type.alternativeText,bats.type,bats.abbreviation,bats.displayValue,atBatPitchNumber,pitchVelocity,trajectory,type.abbreviation,pitchCoordinate.x,pitchCoordinate.y,pitchType.id,pitchType.text,pitchType.abbreviation,hitCoordinate.x,hitCoordinate.y,alternativePlay,alternativeType.id,alternativeType.text,alternativeType.abbreviation,alternativeType.alternativeText,alternativeType.type,onFirst.athlete.id,onSecond.athlete.id,onThird.athlete.id
4018165630103990099,5,,0,0,False,0,2026-08-17 22:14:07+00:00,4018165630103,,2,99,End Batter/Pitcher,end-batterpitcher,Bottom,1,1st Inning,30,0,1,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4905921'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",3.0,,RIGHT,R,Right,2.0,,L,,95.0,185.0,,,,102.0,141.0,,,,,,,,33481,
4018165630103990057,4,Caminero lined out to shortstop.,0,0,False,0,2026-08-17 22:14:07+00:00,4018165630103,N,2,57,Play Result,play-result,Bottom,1,1st Inning,30,0,1,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4905921'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",3.0,,RIGHT,R,Right,2.0,,L,,95.0,185.0,,,,,,4018165630103030032,32,Line Out,LIN,Line Out,line-out,,33481,
4018165630103030032,3,Pitch 2 : Ball In Play,0,0,False,0,2026-08-17 22:14:07+00:00,4018165630103,P,2,32,Line Out,line-out,Bottom,1,1st Inning,1,0,1,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4905921'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",3.0,Line Out,RIGHT,R,Right,2.0,75.0,L,LIN,95.0,185.0,4,Curve,CU,102.0,141.0,,,,,,,,33481,
4018165630104010001,1,Brandon Young pitches to Liam Hicks,0,0,False,0,2026-08-17 22:14:27+00:00,4018165630104,A,3,1,Start Batter/Pitcher,start-batterpitcher,Bottom,1,1st Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4725251'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",4.0,Now at bat,LEFT,L,Left,,,,,,,,,,,,,,,,,,,33481,
4018165630104020036,2,Pitch 1 : Strike 1 Looking,0,0,False,0,2026-08-17 22:14:27+00:00,4018165630104,P,3,36,Strike Looking,strike-looking,Bottom,1,1st Inning,1,0,0,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4725251'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",4.0,Strikeout,LEFT,L,Left,1.0,74.0,P,SL,134.0,160.0,4,Curve,CU,,,,,,,,,,33481,
4018165630104030033,3,Pitch 2 : Ball In Play,0,0,False,0,2026-08-17 22:14:51+00:00,4018165630104,P,3,33,Pop Out,pop-out,Bottom,1,1st Inning,1,0,1,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4725251'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",4.0,Pop Out,LEFT,L,Left,2.0,93.0,P,POP,118.0,146.0,17,Four-seam FB,FF,102.0,145.0,,,,,,,,33481,
4018165630104990057,4,Hicks popped out to shortstop.,0,0,False,0,2026-08-17 22:14:51+00:00,4018165630104,N,3,57,Play Result,play-result,Bottom,1,1st Inning,30,0,1,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4725251'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",4.0,,LEFT,L,Left,2.0,,P,,118.0,146.0,,,,,,4018165630104030033,33,Pop Out,POP,Pop Out,pop-out,,33481,
4018165630104990099,5,,0,0,False,0,2026-08-17 22:14:51+00:00,4018165630104,,3,99,End Batter/Pitcher,end-batterpitcher,Bottom,1,1st Inning,30,0,1,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4725251'}, 'type': 'batter'}, {'athlete': {'id': '33481'}, 'type': 'onSecond'}]",4.0,,LEFT,L,Left,2.0,,P,,118.0,146.0,,,,102.0,145.0,,,,,,,,33481,
4018165630199990058,2,End of the 1st inning,0,0,False,0,2026-08-17 22:14:51+00:00,4018165630104,,0,58,End Inning,end-inning,End,1,1st Inning,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630200000059,1,Top of the 2nd inning,0,0,False,0,2026-08-17 22:17:05+00:00,4018165630201,I,0,59,Start Inning,start-inning,Top,2,2nd Inning,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630201010001,1,Shane McClanahan pitches to Coby Mayo,1,0,False,0,2026-08-17 22:17:05+00:00,4018165630201,A,0,1,Start Batter/Pitcher,start-batterpitcher,Top,2,2nd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630201020021,2,Pitch 1 : Strike 1 Foul,0,0,False,0,2026-08-17 22:17:05+00:00,4018165630201,P,0,21,Foul Ball,foul-ball,Top,2,2nd Inning,30,0,0,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,,RIGHT,R,Right,1.0,95.0,F,F,121.0,166.0,17,Four-seam FB,FF,51.0,23.0,,,,,,,,,
4018165630201030005,3,Pitch 2 : Ball 1,0,0,False,0,2026-08-17 22:17:24+00:00,4018165630201,P,0,5,Ball,ball,Top,2,2nd Inning,30,0,1,1,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,Walk,RIGHT,R,Right,2.0,87.0,F,B,135.0,229.0,6,Changeup,CH,,,,,,,,,,,
4018165630201040005,4,Pitch 3 : Ball 2,0,0,False,0,2026-08-17 22:17:40+00:00,4018165630201,P,0,5,Ball,ball,Top,2,2nd Inning,30,1,1,2,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,Walk,RIGHT,R,Right,3.0,80.0,F,B,153.0,213.0,4,Curve,CU,,,,,,,,,,,
4018165630201990099,7,,1,0,False,0,2026-08-17 22:18:25+00:00,4018165630201,,0,99,End Batter/Pitcher,end-batterpitcher,Top,2,2nd Inning,1,2,1,2,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,,RIGHT,R,Right,4.0,,F,,121.0,180.0,,,,51.0,23.0,,,,,,,,,
4018165630201990057,6,Mayo homered to left center (468 feet).,1,0,True,1,2026-08-17 22:18:25+00:00,4018165630201,S,0,57,Play Result,play-result,Top,2,2nd Inning,1,2,1,2,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,,RIGHT,R,Right,4.0,,F,,121.0,180.0,,,,51.0,23.0,4018165630201050028,28,Home Run,HR,Home Run,home-run,,,
