id,sequenceNumber,text,awayScore,homeScore,scoringPlay,scoreValue,wallclock,atBatId,summaryType,outs,type.id,type.text,type.type,period.type,period.number,period.displayValue,team.id,pitchCount.balls,pitchCount.strikes,resultCount.balls,resultCount.strikes,participants,batOrder,type.alternativeText,bats.type,bats.abbreviation,bats.displayValue,atBatPitchNumber,pitchVelocity,trajectory,type.abbreviation,pitchCoordinate.x,pitchCoordinate.y,pitchType.id,pitchType.text,pitchType.abbreviation,hitCoordinate.x,hitCoordinate.y,alternativePlay,alternativeType.id,alternativeType.text,alternativeType.abbreviation,alternativeType.alternativeText,alternativeType.type,onFirst.athlete.id,onSecond.athlete.id,onThird.athlete.id
4018165630301050024,5,Pitch 4 : Ball In Play,1,0,False,0,2026-08-17 22:27:05+00:00,4018165630301,P,1,24,Ground Out,ground-out,Bottom,2,2nd Inning,1,1,2,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,Ground Out,LEFT,L,Left,4.0,94.0,G,GRO,137.0,134.0,17,Four-seam FB,FF,113.0,148.0,,,,,,,,,
4018165630301990057,6,Simpson grounded out to shortstop.,1,0,False,0,2026-08-17 22:27:05+00:00,4018165630301,N,1,57,Play Result,play-result,Bottom,2,2nd Inning,30,1,2,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,,LEFT,L,Left,4.0,,G,,137.0,134.0,,,,,,4018165630301050024,24,Ground Out,GRO,Ground Out,ground-out,,,
4018165630301990099,7,,1,0,False,0,2026-08-17 22:27:05+00:00,4018165630301,,1,99,End Batter/Pitcher,end-batterpitcher,Bottom,2,2nd Inning,30,1,2,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,,LEFT,L,Left,4.0,,G,,137.0,134.0,,,,113.0,148.0,,,,,,,,,
4018165630302010001,1,Brandon Young pitches to Ryan Vilade,1,0,False,0,2026-08-17 22:27:29+00:00,4018165630302,A,2,1,Start Batter/Pitcher,start-batterpitcher,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630302020005,2,Pitch 1 : Ball 1,1,0,False,0,2026-08-17 22:27:29+00:00,4018165630302,P,2,5,Ball,ball,Bottom,2,2nd Inning,1,0,0,1,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,Walk,RIGHT,R,Right,1.0,93.0,,B,159.0,147.0,2,Sinker,SI,,,,,,,,,,,
4018165630302030037,3,Pitch 2 : Strike 1 Swinging,1,0,False,0,2026-08-17 22:27:44+00:00,4018165630302,P,2,37,Strike Swinging,strike-swinging,Bottom,2,2nd Inning,1,1,0,1,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,Strikeout,RIGHT,R,Right,2.0,93.0,,SS,102.0,142.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630302040021,4,Pitch 3 : Strike 2 Foul,1,0,False,0,2026-08-17 22:28:01+00:00,4018165630302,P,2,21,Foul Ball,foul-ball,Bottom,2,2nd Inning,1,1,1,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,3.0,93.0,,F,122.0,141.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630302050005,5,Pitch 4 : Ball 2,1,0,False,0,2026-08-17 22:28:20+00:00,4018165630302,P,2,5,Ball,ball,Bottom,2,2nd Inning,1,1,2,2,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,Walk,RIGHT,R,Right,4.0,85.0,,B,72.0,215.0,5,Slider,SL,,,,,,,,,,,
4018165630302060021,6,Pitch 5 : Strike 2 Foul,1,0,False,0,2026-08-17 22:28:37+00:00,4018165630302,P,2,21,Foul Ball,foul-ball,Bottom,2,2nd Inning,1,2,2,2,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,5.0,94.0,,F,129.0,158.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630302070021,7,Pitch 6 : Strike 2 Foul,1,0,False,0,2026-08-17 22:28:58+00:00,4018165630302,P,2,21,Foul Ball,foul-ball,Bottom,2,2nd Inning,1,2,2,2,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,6.0,94.0,,F,121.0,143.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630302080037,8,Pitch 7 : Strike 3 Swinging,1,0,False,0,2026-08-17 22:29:24+00:00,4018165630302,P,2,37,Strike Swinging,strike-swinging,Bottom,2,2nd Inning,1,2,2,2,3,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,Strikeout,RIGHT,R,Right,7.0,75.0,,SS,99.0,205.0,4,Curve,CU,,,,,,,,,,,
4018165630302990057,9,Vilade struck out swinging.,1,0,False,0,2026-08-17 22:29:24+00:00,4018165630302,N,2,57,Play Result,play-result,Bottom,2,2nd Inning,30,2,3,2,3,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,7.0,,,,99.0,205.0,,,,,,4018165630302080037,37,Strike Swinging,SS,Strikeout,strike-swinging,,,
4018165630302990099,10,,1,0,False,0,2026-08-17 22:29:24+00:00,4018165630302,,2,99,End Batter/Pitcher,end-batterpitcher,Bottom,2,2nd Inning,30,2,3,2,3,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '40960'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,7.0,,,,99.0,205.0,,,,,,,,,,,,,,
4018165630303010001,1,Brandon Young pitches to Cedric Mullins,1,0,False,0,2026-08-17 22:30:16+00:00,4018165630303,A,2,1,Start Batter/Pitcher,start-batterpitcher,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '35578'}, 'type': 'batter'}]",7.0,Now at bat,LEFT,L,Left,,,,,,,,,,,,,,,,,,,,
4018165630303020006,2,Pitch 1 : Ball In Play,1,0,False,0,2026-08-17 22:30:16+00:00,4018165630303,P,2,6,Bunt Single,bunt-single,Bottom,2,2nd Inning,1,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '35578'}, 'type': 'batter'}]",7.0,Bunt Single,LEFT,L,Left,1.0,94.0,B,B1B,107.0,163.0,17,Four-seam FB,FF,116.0,186.0,,,,,,,,,
4018165630303990057,3,"Mullins reached on bunt single to third, Mullins safe at second on throwing error by third baseman Encarnacion-Strand.",1,0,False,0,2026-08-17 22:30:16+00:00,4018165630303,N,2,57,Play Result,play-result,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '35578'}, 'type': 'batter'}, {'athlete': {'id': '35578'}, 'type': 'onSecond'}]",7.0,,LEFT,L,Left,1.0,,B,,107.0,163.0,,,,116.0,186.0,4018165630303020006,6,Bunt Single,B1B,Bunt Single,bunt-single,,35578,
4018165630303990099,4,,1,0,False,0,2026-08-17 22:30:16+00:00,4018165630303,,2,99,End Batter/Pitcher,end-batterpitcher,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '35578'}, 'type': 'batter'}, {'athlete': {'id': '35578'}, 'type': 'onSecond'}]",7.0,,LEFT,L,Left,1.0,,B,,107.0,163.0,,,,116.0,186.0,,,,,,,,35578,
4018165630304990099,4,,1,0,False,0,2026-08-17 22:30:53+00:00,4018165630304,,3,99,End Batter/Pitcher,end-batterpitcher,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '41359'}, 'type': 'batter'}, {'athlete': {'id': '35578'}, 'type': 'onSecond'}]",8.0,,LEFT,L,Left,1.0,,F,,117.0,144.0,,,,148.0,76.0,,,,,,,,35578,
4018165630304990057,3,Palacios flied out to center.,1,0,False,0,2026-08-17 22:30:53+00:00,4018165630304,N,3,57,Play Result,play-result,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '41359'}, 'type': 'batter'}, {'athlete': {'id': '35578'}, 'type': 'onSecond'}]",8.0,,LEFT,L,Left,1.0,,F,,117.0,144.0,,,,,,4018165630304020022,22,Fly Out,FLY,Fly Out,fly-out,,35578,
4018165630399990058,2,End of the 2nd inning,1,0,False,0,2026-08-17 22:30:53+00:00,4018165630304,,0,58,End Inning,end-inning,End,2,2nd Inning,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630304010001,1,Brandon Young pitches to Richie Palacios,1,0,False,0,2026-08-17 22:30:53+00:00,4018165630304,A,3,1,Start Batter/Pitcher,start-batterpitcher,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '41359'}, 'type': 'batter'}, {'athlete': {'id': '35578'}, 'type': 'onSecond'}]",8.0,Now at bat,LEFT,L,Left,,,,,,,,,,,,,,,,,,,35578,
4018165630304020022,2,Pitch 1 : Ball In Play,1,0,False,0,2026-08-17 22:30:53+00:00,4018165630304,P,3,22,Fly Out,fly-out,Bottom,2,2nd Inning,1,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '41359'}, 'type': 'batter'}, {'athlete': {'id': '35578'}, 'type': 'onSecond'}]",8.0,Fly Out,LEFT,L,Left,1.0,93.0,F,FLY,117.0,144.0,17,Four-seam FB,FF,148.0,76.0,,,,,,,,35578,
4018165630401030037,3,Pitch 2 : Strike 2 Swinging,1,0,False,0,2026-08-17 22:33:33+00:00,4018165630401,P,1,37,Strike Swinging,strike-swinging,Top,3,3rd Inning,30,0,1,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012120'}, 'type': 'batter'}]",8.0,Strikeout,RIGHT,R,Right,2.0,94.0,F,SS,133.0,179.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630401020036,2,Pitch 1 : Strike 1 Looking,1,0,False,0,2026-08-17 22:33:33+00:00,4018165630401,P,1,36,Strike Looking,strike-looking,Top,3,3rd Inning,30,0,0,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012120'}, 'type': 'batter'}]",8.0,Strikeout,RIGHT,R,Right,1.0,95.0,F,SL,129.0,180.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630401010001,1,Shane McClanahan pitches to Carlos Narvaez,1,0,False,0,2026-08-17 22:33:33+00:00,4018165630401,A,1,1,Start Batter/Pitcher,start-batterpitcher,Top,3,3rd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012120'}, 'type': 'batter'}]",8.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630400000059,1,Top of the 3rd inning,1,0,False,0,2026-08-17 22:33:33+00:00,4018165630401,I,0,59,Start Inning,start-inning,Top,3,3rd Inning,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630401040022,4,Pitch 3 : Ball In Play,1,0,False,0,2026-08-17 22:34:03+00:00,4018165630401,P,1,22,Fly Out,fly-out,Top,3,3rd Inning,30,0,2,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012120'}, 'type': 'batter'}]",8.0,Fly Out,RIGHT,R,Right,3.0,95.0,F,FLY,128.0,148.0,17,Four-seam FB,FF,70.0,97.0,,,,,,,,,
4018165630401990057,5,Narváez flied out to left.,1,0,False,0,2026-08-17 22:34:03+00:00,4018165630401,N,1,57,Play Result,play-result,Top,3,3rd Inning,1,0,2,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012120'}, 'type': 'batter'}]",8.0,,RIGHT,R,Right,3.0,,F,,128.0,148.0,,,,,,4018165630401040022,22,Fly Out,FLY,Fly Out,fly-out,,,
4018165630401990099,6,,1,0,False,0,2026-08-17 22:34:03+00:00,4018165630401,,1,99,End Batter/Pitcher,end-batterpitcher,Top,3,3rd Inning,1,0,2,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012120'}, 'type': 'batter'}]",8.0,,RIGHT,R,Right,3.0,,F,,128.0,148.0,,,,70.0,97.0,,,,,,,,,
4018165630402010001,1,Shane McClanahan pitches to Christian Franklin,1,0,False,0,2026-08-17 22:34:26+00:00,4018165630402,A,1,1,Start Batter/Pitcher,start-batterpitcher,Top,3,3rd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630402020005,2,Pitch 1 : Ball 1,1,0,False,0,2026-08-17 22:34:26+00:00,4018165630402,P,1,5,Ball,ball,Top,3,3rd Inning,30,0,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,Walk,RIGHT,R,Right,1.0,94.0,G,B,137.0,203.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630402030021,3,Pitch 2 : Strike 1 Foul,1,0,False,0,2026-08-17 22:34:41+00:00,4018165630402,P,1,21,Foul Ball,foul-ball,Top,3,3rd Inning,30,1,0,1,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,,RIGHT,R,Right,2.0,94.0,G,F,114.0,171.0,17,Four-seam FB,FF,115.0,141.0,,,,,,,,,
4018165630402040005,4,Pitch 3 : Ball 2,1,0,False,0,2026-08-17 22:35:04+00:00,4018165630402,P,1,5,Ball,ball,Top,3,3rd Inning,30,1,1,2,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,Walk,RIGHT,R,Right,3.0,87.0,G,B,125.0,217.0,5,Slider,SL,,,,,,,,,,,
4018165630402050005,5,Pitch 4 : Ball 3,1,0,False,0,2026-08-17 22:35:21+00:00,4018165630402,P,1,5,Ball,ball,Top,3,3rd Inning,30,2,1,3,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,Walk,RIGHT,R,Right,4.0,94.0,G,B,127.0,214.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630402060036,6,Pitch 5 : Strike 2 Looking,1,0,False,0,2026-08-17 22:35:49+00:00,4018165630402,P,1,36,Strike Looking,strike-looking,Top,3,3rd Inning,30,3,1,3,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,Strikeout,RIGHT,R,Right,5.0,95.0,G,SL,106.0,157.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630402990057,8,Franklin reached on infield single to shortstop.,1,0,False,0,2026-08-17 22:36:14+00:00,4018165630402,N,1,57,Play Result,play-result,Top,3,3rd Inning,1,3,2,3,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onFirst'}]",9.0,,RIGHT,R,Right,6.0,,G,,114.0,186.0,,,,115.0,141.0,4018165630402070002,2,Single,1B,Single,single,4414623,,
4018165630402990099,9,,1,0,False,0,2026-08-17 22:36:14+00:00,4018165630402,,1,99,End Batter/Pitcher,end-batterpitcher,Top,3,3rd Inning,1,3,2,3,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onFirst'}]",9.0,,RIGHT,R,Right,6.0,,G,,114.0,186.0,,,,115.0,141.0,,,,,,,4414623,,
4018165630402070002,7,Pitch 6 : Ball In Play,1,0,False,0,2026-08-17 22:36:14+00:00,4018165630402,P,1,2,Single,single,Top,3,3rd Inning,30,3,2,3,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'batter'}]",9.0,Single,RIGHT,R,Right,6.0,95.0,G,1B,114.0,186.0,17,Four-seam FB,FF,115.0,141.0,,,,,,,,,
4018165630403010001,1,Shane McClanahan pitches to Tyler O'Neill,1,0,False,0,2026-08-17 22:36:51+00:00,4018165630403,A,2,1,Start Batter/Pitcher,start-batterpitcher,Top,3,3rd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onFirst'}]",1.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,4414623,,
4018165630403020036,2,Pitch 1 : Strike 1 Looking,1,0,False,0,2026-08-17 22:36:51+00:00,4018165630403,P,2,36,Strike Looking,strike-looking,Top,3,3rd Inning,30,0,0,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onFirst'}]",1.0,Strikeout,RIGHT,R,Right,1.0,81.0,,SL,90.0,164.0,4,Curve,CU,,,,,,,,,4414623,,
4018165630403020252,3,Franklin stole second.,1,0,False,0,2026-08-17 22:36:51+00:00,4018165630403,,0,52,Stolen Base,stolen-base,Top,3,3rd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",,Stolen Base,,,,1.0,,,SB,,,,,,,,,,,,,,,4414623,
4018165630403020298,4,Franklin stole second.,1,0,False,0,2026-08-17 22:36:51+00:00,4018165630403,N,0,57,Play Result,play-result,Top,3,3rd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",,,,,,1.0,,,,,,,,,,,4018165630403020252,52,Stolen Base,SB,Stolen Base,stolen-base,,4414623,
4018165630403030037,5,Pitch 2 : Strike 2 Swinging,1,0,False,0,2026-08-17 22:37:10+00:00,4018165630403,P,2,37,Strike Swinging,strike-swinging,Top,3,3rd Inning,30,0,1,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",1.0,Strikeout,RIGHT,R,Right,2.0,86.0,,SS,83.0,170.0,6,Changeup,CH,,,,,,,,,,4414623,
4018165630403040036,6,Pitch 3 : Strike 3 Looking,1,0,False,0,2026-08-17 22:37:32+00:00,4018165630403,P,2,36,Strike Looking,strike-looking,Top,3,3rd Inning,30,0,2,0,3,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",1.0,Strikeout,RIGHT,R,Right,3.0,87.0,,SL,130.0,164.0,5,Slider,SL,,,,,,,,,,4414623,
4018165630403990057,7,O'Neill struck out looking.,1,0,False,0,2026-08-17 22:37:32+00:00,4018165630403,N,2,57,Play Result,play-result,Top,3,3rd Inning,1,0,3,0,3,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",1.0,,RIGHT,R,Right,3.0,,,,130.0,164.0,,,,,,4018165630403040036,36,Strike Looking,SL,Strikeout,strike-looking,,4414623,
4018165630403990099,8,,1,0,False,0,2026-08-17 22:37:32+00:00,4018165630403,,2,99,End Batter/Pitcher,end-batterpitcher,Top,3,3rd Inning,1,0,3,0,3,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",1.0,,RIGHT,R,Right,3.0,,,,130.0,164.0,,,,,,,,,,,,,4414623,
4018165630404010001,1,Shane McClanahan pitches to Pete Alonso,1,0,False,0,2026-08-17 22:37:53+00:00,4018165630404,A,3,1,Start Batter/Pitcher,start-batterpitcher,Top,3,3rd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,4414623,
4018165630404020005,2,Pitch 1 : Ball 1,1,0,False,0,2026-08-17 22:37:53+00:00,4018165630404,P,3,5,Ball,ball,Top,3,3rd Inning,30,0,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,Walk,RIGHT,R,Right,1.0,81.0,F,B,87.0,144.0,4,Curve,CU,,,,,,,,,,4414623,
4018165630404030005,3,Pitch 2 : Ball 2,1,0,False,0,2026-08-17 22:38:10+00:00,4018165630404,P,3,5,Ball,ball,Top,3,3rd Inning,30,1,0,2,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,Walk,RIGHT,R,Right,2.0,84.0,F,B,134.0,209.0,6,Changeup,CH,,,,,,,,,,4414623,
4018165630404040005,4,Pitch 3 : Ball 3,1,0,False,0,2026-08-17 22:38:29+00:00,4018165630404,P,3,5,Ball,ball,Top,3,3rd Inning,30,2,0,3,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,Walk,RIGHT,R,Right,3.0,85.0,F,B,147.0,224.0,6,Changeup,CH,,,,,,,,,,4414623,
4018165630499990058,2,Middle of the 3rd inning,1,0,False,0,2026-08-17 22:39:04+00:00,4018165630404,,0,58,End Inning,end-inning,Mid,3,3rd Inning,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630404990099,7,,1,0,False,0,2026-08-17 22:39:04+00:00,4018165630404,,3,99,End Batter/Pitcher,end-batterpitcher,Top,3,3rd Inning,1,3,0,3,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,,RIGHT,R,Right,4.0,,F,,99.0,180.0,,,,64.0,73.0,,,,,,,,4414623,
4018165630404990057,6,Alonso flied out to left.,1,0,False,0,2026-08-17 22:39:04+00:00,4018165630404,N,3,57,Play Result,play-result,Top,3,3rd Inning,1,3,0,3,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,,RIGHT,R,Right,4.0,,F,,99.0,180.0,,,,,,4018165630404050022,22,Fly Out,FLY,Fly Out,fly-out,,4414623,
4018165630404050022,5,Pitch 4 : Ball In Play,1,0,False,0,2026-08-17 22:39:04+00:00,4018165630404,P,3,22,Fly Out,fly-out,Top,3,3rd Inning,30,3,0,3,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}, {'athlete': {'id': '4414623'}, 'type': 'onSecond'}]",2.0,Fly Out,RIGHT,R,Right,4.0,85.0,F,FLY,99.0,180.0,6,Changeup,CH,64.0,73.0,,,,,,,,4414623,
4018165630500000059,1,Bottom of the 3rd inning,1,0,False,0,2026-08-17 22:41:12+00:00,4018165630501,I,0,59,Start Inning,start-inning,Bottom,3,3rd Inning,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630501010001,1,Brandon Young pitches to Jorge Mateo,1,0,False,0,2026-08-17 22:41:12+00:00,4018165630501,A,1,1,Start Batter/Pitcher,start-batterpitcher,Bottom,3,3rd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '33832'}, 'type': 'batter'}]",9.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630501020013,2,Pitch 1 : Strike 1 Bunted Foul,1,0,False,0,2026-08-17 22:41:12+00:00,4018165630501,P,1,13,Bunted Foul,bunted-foul,Bottom,3,3rd Inning,1,0,0,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '33832'}, 'type': 'batter'}]",9.0,Out,RIGHT,R,Right,1.0,90.0,G,BF,123.0,138.0,17,Four-seam FB,FF,128.0,187.0,,,,,,,,,
4018165630501030005,3,Pitch 2 : Ball 1,1,0,False,0,2026-08-17 22:41:32+00:00,4018165630501,P,1,5,Ball,ball,Bottom,3,3rd Inning,1,0,1,1,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '33832'}, 'type': 'batter'}]",9.0,Walk,RIGHT,R,Right,2.0,91.0,G,B,76.0,174.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630501040037,4,Pitch 3 : Strike 2 Swinging,1,0,False,0,2026-08-17 22:41:48+00:00,4018165630501,P,1,37,Strike Swinging,strike-swinging,Bottom,3,3rd Inning,1,1,1,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '33832'}, 'type': 'batter'}]",9.0,Strikeout,RIGHT,R,Right,3.0,92.0,G,SS,122.0,141.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630501050021,5,Pitch 4 : Strike 2 Foul,1,0,False,0,2026-08-17 22:42:04+00:00,4018165630501,P,1,21,Foul Ball,foul-ball,Bottom,3,3rd Inning,1,1,2,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '33832'}, 'type': 'batter'}]",9.0,,RIGHT,R,Right,4.0,93.0,G,F,129.0,155.0,17,Four-seam FB,FF,128.0,187.0,,,,,,,,,
4018165630501060021,6,Pitch 5 : Strike 2 Foul,1,0,False,0,2026-08-17 22:42:24+00:00,4018165630501,P,1,21,Foul Ball,foul-ball,Bottom,3,3rd Inning,1,1,2,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '33832'}, 'type': 'batter'}]",9.0,,RIGHT,R,Right,5.0,93.0,G,F,84.0,147.0,17,Four-seam FB,FF,128.0,187.0,,,,,,,,,
